,RMSE Interpolation (mean),RMSE Interpolation (std),RMSE Extrapolation (mean),RMSE Extrapolation (std),RMSE_F (mean),RMSE_F (std),Time
Linear Mixed Effects Model with no fixed features (random intercept),2.138,0.215,2.004,0.171,,,0.005
Linear Mixed Effects Model with Random Intercept,2.007,0.200,1.896,0.183,1.879,0.142,0.010
Linear Mixed Effects Model with Shared Gaussian Process,1.406,0.133,1.664,0.184,2.024,0.171,0.293
Linear Mixed Effects Model with Independent Gaussian Process,1.754,0.189,1.928,0.173,1.870,0.150,0.058
Gradient-boosted tree with group as categorical variable (no random effects),1.653,0.128,1.665,0.153,,,0.019
GPBoost with Random Intercept,1.960,0.207,1.828,0.195,1.538,0.160,0.077
GPBoost with Shared Gaussian Process,1.322,0.127,1.596,0.203,1.537,0.176,1.955
GPBoost with Independent Gaussian Process,1.677,0.226,1.877,0.174,1.536,0.176,0.700
Bayesian GPBoost with Shared Gaussian Process,1.321,0.128,1.590,0.202,1.537,0.176,1.583
